date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1d,TanChau_Discharge_lag_3d,TanChau_Discharge_lag_5d,TanChau_Discharge_lag_7d,TanChau_Discharge_lag_14d,TanChau_Discharge_lag_21d,TanChau_Discharge_lag_30d,TanChau_Discharge_roll_3d,TanChau_Discharge_roll_7d,TanChau_Discharge_roll_14d
1993-12-18,1008.7588,16.41290322580645,10.50425806451613,1027.8975,1076.3623,1056.7656,1044.2227,1444.4883,1495.0635,1448.248,1030.6067708333333,1048.594447544643,1116.405482700893
1993-12-19,1008.21875,16.483870967741936,10.54967741935484,1008.7588,1055.1641,1078.0156,1037.1973,1365.1396,1620.2725,1390.3115,1014.9583333333334,1044.4546595982142,1090.9111328125
1993-12-20,985.00684,16.55483870967742,10.595096774193548,1008.21875,1027.8975,1076.3623,1056.7656,1292.7412,1861.459,1339.6133,1000.6614583333334,1034.203404017857,1068.9301060267858
1993-12-21,927.56836,16.625806451612902,10.640516129032259,985.00684,1008.7588,1055.1641,1078.0156,1223.4541,1922.3887,1298.5664,973.5979817708334,1012.7109375,1047.79541015625
1993-12-22,886.16895,16.696774193548386,10.685935483870967,927.56836,1008.21875,1027.8975,1076.3623,1164.3984,1809.9678,1267.6777,932.9147135416666,985.5404575892857,1027.921875
1993-12-23,871.14355,16.76774193548387,10.731354838709677,886.16895,985.00684,1008.7588,1055.1641,1120.6377,1668.415,1239.9951,894.9602864583334,959.2518136160714,1010.1008649553571
1993-12-24,864.9209,16.838709677419352,10.776774193548388,871.14355,927.56836,1008.21875,1027.8975,1078.9219,1542.793,1210.4785,874.0777994791666,935.9694475446429,994.8150809151786
1993-12-25,854.7344,16.90967741935484,10.822193548387096,864.9209,886.16895,985.00684,1008.7588,1044.2227,1444.4883,1193.7051,863.599609375,913.9659598214286,981.2802036830357
1993-12-26,835.5928,16.980645161290322,10.867612903225806,854.7344,871.14355,927.56836,1008.21875,1037.1973,1365.1396,1313.917,851.7493489583334,889.3051060267857,966.8798828125
1993-12-27,809.17285,17.051612903225806,10.913032258064517,835.5928,864.9209,886.16895,985.00684,1056.7656,1292.7412,1495.0635,833.1666666666666,864.1859654017857,949.1946847098214
1993-12-28,780.46094,17.12258064516129,10.958451612903225,809.17285,854.7344,871.14355,927.56836,1078.0156,1223.4541,1620.2725,808.4088541666666,843.1706194196429,927.9407784598214
1993-12-29,753.7949,17.193548387096772,11.003870967741936,780.46094,835.5928,864.9209,886.16895,1076.3623,1164.3984,1861.459,781.1429036458334,824.2600446428571,904.9002511160714
1993-12-30,731.16016,17.264516129032256,11.049290322580646,753.7949,809.17285,854.7344,871.14355,1055.1641,1120.6377,1922.3887,755.138671875,804.2624162946429,881.7571149553571
1993-12-31,711.8418,17.335483870967742,11.094709677419354,731.16016,780.46094,835.5928,864.9209,1027.8975,1078.9219,1809.9678,732.265625,782.3939732142857,859.1817103794643
1994-01-01,693.416,17.406451612903226,11.140129032258065,711.8418,753.7949,809.17285,854.7344,1008.7588,1044.2227,1668.415,712.1393229166666,759.3484933035714,836.6572265625
1994-01-02,674.41016,17.47741935483871,11.185548387096775,693.416,731.16016,780.46094,835.5928,1008.21875,1037.1973,1542.793,693.22265625,736.3224051339286,812.8137555803571
1994-01-03,654.95215,17.548387096774192,11.230967741935483,674.41016,711.8418,753.7949,809.17285,985.00684,1056.7656,1444.4883,674.2594401041666,714.2908761160714,789.2384207589286
1994-01-04,635.64746,17.619354838709675,11.276387096774194,654.95215,693.416,731.16016,780.46094,927.56836,1078.0156,1365.1396,655.0032552083334,693.6032366071429,768.3869280133929
1994-01-05,615.88086,17.69032258064516,11.321806451612904,635.64746,674.41016,711.8418,753.7949,886.16895,1076.3623,1292.7412,635.4934895833334,673.9012276785714,749.0806361607143
1994-01-06,596.75977,17.761290322580642,11.367225806451613,615.88086,654.95215,693.416,731.16016,871.14355,1055.1641,1223.4541,616.0960286458334,654.701171875,729.4817940848214
1994-01-07,578.7051,17.83225806451613,11.412645161290323,596.75977,635.64746,674.41016,711.8418,864.9209,1027.8975,1164.3984,597.115234375,635.681640625,709.0378069196429
1994-01-08,562.041,17.903225806451612,11.458064516129031,578.7051,615.88086,654.95215,693.416,854.7344,1008.7588,1120.6377,579.1686197916666,616.9137834821429,688.1311383928571
1994-01-09,547.4375,17.974193548387095,11.503483870967742,562.041,596.75977,635.64746,674.41016,835.5928,1008.21875,1078.9219,562.7278645833334,598.7748325892857,667.5486188616071
1994-01-10,533.32227,18.04516129032258,11.548903225806452,547.4375,578.7051,615.88086,654.95215,809.17285,985.00684,1044.2227,547.6002604166666,581.3991350446429,647.8450055803571
1994-01-11,516.7656,18.116129032258062,11.59432258064516,533.32227,562.041,596.75977,635.64746,780.46094,927.56836,1037.1973,532.5084635416666,564.416015625,629.0096261160714
1994-01-12,496.51758,18.18709677419355,11.63974193548387,516.7656,547.4375,578.7051,615.88086,753.7949,886.16895,1056.7656,515.53515625,547.3641183035714,610.6326729910714
1994-01-13,474.33594,18.258064516129032,11.685161290322581,496.51758,533.32227,562.041,596.75977,731.16016,871.14355,1078.0156,495.873046875,529.875,592.2880859375
1994-01-14,452.5664,18.329032258064515,11.73058064516129,474.33594,516.7656,547.4375,578.7051,711.8418,864.9209,1076.3623,474.4733072916667,511.85518973214283,573.7684151785714
1994-01-15,432.9004,18.4,11.776,452.5664,496.51758,533.32227,562.041,693.416,854.7344,1055.1641,453.267578125,493.40652901785717,555.16015625
1994-01-16,415.16602,20.403225806451612,13.058064516129033,432.9004,474.33594,516.7656,547.4375,674.41016,835.5928,1027.8975,433.5442708333333,474.51060267857144,536.6427176339286
