date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type,precip_mm,temp_max_c,temp_min_c,temp_mean_c,et0_mm,wind_max_ms,rh_pct,radiation_mj
1990-09-01,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,292.6,30.293333333333333,24.209999999999997,26.33,104.27,3.7253333333333334,88.13333333333334,505.38
1990-10-01,MyTho,10.36,106.36,16.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,263.3,29.870967741935484,23.799999999999997,26.135483870967743,101.55,2.9451612903225803,88.83870967741936,495.55
1990-11-01,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,162.7,29.31,22.983333333333334,25.529999999999998,98.78,2.8560000000000003,86.66666666666667,485.39
1990-12-01,MyTho,10.36,106.36,17.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,13.2,29.948387096774194,22.406451612903226,25.700000000000003,123.2,3.017741935483871,77.58064516129032,577.44
1991-01-01,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,7.5,30.996774193548386,23.270967741935483,26.403225806451612,136.48,3.4638709677419355,73.19354838709677,600.62
1991-02-01,MyTho,10.36,106.36,25.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,1.2,31.442857142857143,23.389285714285712,26.682142857142857,131.35,3.5778571428571424,72.92857142857143,573.09
1991-03-01,MyTho,10.36,106.36,50.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,43.7,31.68064516129032,23.94516129032258,27.048387096774192,158.86,4.0283870967741935,73.06451612903226,690.02
1991-04-01,MyTho,10.36,106.36,211.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,60.9,32.843333333333334,24.96333333333333,28.19333333333333,154.96,3.54,75.53333333333333,683.38
1991-05-01,MyTho,10.36,106.36,96.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,151.8,32.07419354838709,25.270967741935483,28.096774193548388,132.97,2.890967741935484,81.96774193548387,615.35
1991-06-01,MyTho,10.36,106.36,41.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,238.4,30.936666666666667,25.103333333333335,27.33,109.26,3.613,85.96666666666667,513.27
1991-07-01,MyTho,10.36,106.36,24.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,303.4,29.91290322580645,24.293548387096774,26.261290322580646,105.72,4.00516129032258,88.80645161290323,521.05
1991-08-01,MyTho,10.36,106.36,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,272.8,29.738709677419354,24.358064516129033,26.206451612903226,104.76,4.588709677419355,87.90322580645162,508.89
1991-09-01,MyTho,10.36,106.36,31.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,294.3,29.46333333333333,23.983333333333334,25.723333333333336,89.14,3.83,90.83333333333333,443.4
1991-10-01,MyTho,10.36,106.36,19.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,288.4,29.258064516129032,23.154838709677417,25.483870967741936,96.2,2.5925806451612905,89.6774193548387,474.62
1991-11-01,MyTho,10.36,106.36,16.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,38.9,29.88,22.763333333333332,25.923333333333336,115.42,2.597666666666667,81.43333333333334,554.79
1991-12-01,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,6.7,30.55806451612903,23.032258064516128,26.293548387096774,127.38,3.2616129032258065,74.54838709677419,568.6800000000001
1992-01-01,MyTho,10.36,106.36,17.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,6.699999999999999,29.996774193548386,21.66774193548387,25.141935483870967,135.06,3.584838709677419,72.38709677419355,602.89
1992-02-01,MyTho,10.36,106.36,42.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,3.0,31.479310344827585,23.317241379310346,26.489655172413794,142.04,4.000689655172414,73.0,612.3
1992-03-01,MyTho,10.36,106.36,24.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,1.9000000000000001,32.83548387096774,24.551612903225806,27.835483870967742,168.99,3.991612903225806,71.58064516129032,714.02
1992-04-01,MyTho,10.36,106.36,42.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,40.8,33.98,25.543333333333333,28.94,160.08,3.317333333333333,73.66666666666667,690.79
1992-05-01,MyTho,10.36,106.36,259.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,108.2,33.68064516129032,25.848387096774193,29.006451612903227,150.6,3.0496774193548384,77.12903225806451,668.46
1992-06-01,MyTho,10.36,106.36,70.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,232.7,30.736666666666668,24.993333333333332,27.223333333333336,104.51,3.9093333333333335,84.76666666666667,475.58
1992-07-01,MyTho,10.36,106.36,25.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,219.8,30.322580645161292,24.096774193548388,26.39032258064516,110.14999999999999,3.398387096774193,87.58064516129032,535.43
1992-08-01,MyTho,10.36,106.36,23.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,244.4,30.04516129032258,24.603225806451615,26.448387096774194,112.09,4.522903225806452,86.16129032258064,530.93
1992-09-01,MyTho,10.36,106.36,11.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,186.9,30.33,24.353333333333335,26.503333333333334,113.17,3.816333333333333,86.3,547.0
1992-10-01,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,351.3,28.825806451612905,23.23225806451613,25.403225806451612,90.82000000000001,2.9948387096774196,88.54838709677419,435.63
1992-11-01,MyTho,10.36,106.36,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,67.2,28.916666666666668,22.366666666666667,25.253333333333334,108.47,3.1133333333333337,82.7,524.14
1992-12-01,MyTho,10.36,106.36,14.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,22.3,29.612903225806452,22.60967741935484,25.596774193548388,115.93,3.265483870967742,78.35483870967742,534.46
1993-01-01,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,17.0,29.76774193548387,22.612903225806452,25.53548387096774,127.35,3.531290322580645,73.12903225806451,554.52
1993-02-01,MyTho,10.36,106.36,18.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,0.9,30.49285714285714,21.964285714285715,25.38214285714286,132.57,3.6860714285714287,71.85714285714286,589.46
1993-03-01,MyTho,10.36,106.36,165.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,41.0,32.05806451612903,23.783870967741933,27.051612903225806,164.19,4.025483870967742,72.2258064516129,703.88
1993-04-01,MyTho,10.36,106.36,535.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,59.2,32.690000000000005,24.59,28.053333333333335,154.98,3.447,74.43333333333334,678.91
1993-05-01,MyTho,10.36,106.36,58.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,209.3,32.5258064516129,24.809677419354838,27.96451612903226,140.1,2.853225806451613,81.09677419354838,643.27
1993-06-01,MyTho,10.36,106.36,27.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,281.5,31.063333333333333,24.803333333333335,27.016666666666666,111.35,3.4553333333333334,87.46666666666667,540.47
1993-07-01,MyTho,10.36,106.36,22.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,260.8,30.283870967741933,24.387096774193548,26.416129032258063,108.59,3.8925806451612903,88.09677419354838,529.1
