date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
1997-09-15,TanChau,10.804,105.234,11.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-10-15,TanChau,10.804,105.234,10.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-11-15,TanChau,10.804,105.234,10.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-12-15,TanChau,10.804,105.234,11.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-01-15,TanChau,10.804,105.234,14.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-02-15,TanChau,10.804,105.234,1.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-03-15,TanChau,10.804,105.234,56.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-04-15,TanChau,10.804,105.234,21.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-05-15,TanChau,10.804,105.234,19.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-06-15,TanChau,10.804,105.234,60.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-07-15,TanChau,10.804,105.234,13.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-08-15,TanChau,10.804,105.234,13.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-09-15,TanChau,10.804,105.234,14.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-10-15,TanChau,10.804,105.234,11.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-11-15,TanChau,10.804,105.234,13.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-12-15,TanChau,10.804,105.234,31.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-01-15,TanChau,10.804,105.234,13.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-02-15,TanChau,10.804,105.234,15.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-03-15,TanChau,10.804,105.234,17.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-04-15,TanChau,10.804,105.234,18.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-05-15,TanChau,10.804,105.234,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-06-15,TanChau,10.804,105.234,8.12,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-07-15,TanChau,10.804,105.234,10.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-08-15,TanChau,10.804,105.234,9.42,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-09-15,TanChau,10.804,105.234,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-10-15,TanChau,10.804,105.234,11.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-11-15,TanChau,10.804,105.234,15.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-12-15,TanChau,10.804,105.234,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-01-15,TanChau,10.804,105.234,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-02-15,TanChau,10.804,105.234,11.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
