date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
1996-11-15,MyTho,10.36,106.36,10.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-12-15,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-01-15,MyTho,10.36,106.36,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-02-15,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-03-15,MyTho,10.36,106.36,35.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-04-15,MyTho,10.36,106.36,27.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-05-15,MyTho,10.36,106.36,22.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-06-15,MyTho,10.36,106.36,28.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-07-15,MyTho,10.36,106.36,22.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-08-15,MyTho,10.36,106.36,13.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-09-15,MyTho,10.36,106.36,13.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-10-15,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-11-15,MyTho,10.36,106.36,13.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-12-15,MyTho,10.36,106.36,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-01-15,MyTho,10.36,106.36,17.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-02-15,MyTho,10.36,106.36,4.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-03-15,MyTho,10.36,106.36,131.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-04-15,MyTho,10.36,106.36,841.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-05-15,MyTho,10.36,106.36,118.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-06-15,MyTho,10.36,106.36,90.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
